== frozen25 seeds [0, 1]
  B_gen.7dur@end [None, 0.125]
  A_gen.7dur@A   [None, 0.062]
  B_gen1@end     [0.054, 0.089]
  B_gen.7@end    [0.107, 0.161]
  A_mel@A        [0.4629, 0.4673]
  A_mel@end      [0.4637, 0.467]
  B_mel@A        [0.5813, 0.5837]
  B_mel@end      [0.575, 0.576]
  A_recx@end     [0.25, 0.25]
  B_recx@end     [0.302, 0.219]
  A_codes@end    [585, 588]
  B_codes@end    [497, 489]
  wA@A           [0.5408, 0.5685]
  wA@end         [0.6947, 0.7932]
  wB@end         [0.3801, 0.3956]
  windows        [12091, 12096]
  wall_s         [376.9, 295.0]
  s/win          [0.02593, 0.01951]
  minted_in_data [82133, 83002]
  mints          [192, 192]
  drift          [{'flipA_per_1kwin_mean': 0.0367, 'flipB_per_1kwin_mean': 0.0421, 'flipA_vs_codecphase_end': 0.2694, 'flipB_vs_codecphase_end': 0.2808}, {'flipA_per_1kwin_mean': 0.0363, 'flipB_per_1kwin_mean': 0.0397, 'flipA_vs_codecphase_end': 0.2639, 'flipB_vs_codecphase_end': 0.2833}]
== live50def seeds [0, 1]
  text_p1        [2.0508, 2.065]
  text_afterA    [2.0975, 2.0546]
  text_final     [2.0612, 2.0133]
  A_bps@A        [193.87, 189.25]
  A_bps@end      [250.36, 246.16]
  B_bps@end      [285.51, 290.14]
  A_bpp@A        [3.8013, 3.7107]
  B_bpp@end      [5.5983, 5.6891]
  A_pos/s@A      [50.0, 50.0]
  A_pos/s@end    [50.0, 50.0]
  B_pos/s@end    [50.0, 50.0]
  A_capb@A       [0.3392, 0.3037]
  A_capb@end     [2.5368, 2.4832]
  B_capb@end     [0.1212, 0.1322]
  A_und@A        [0.008, 0.07]
  A_und@end      [0.0, 0.0]
  B_und@end      [0.226, 0.226]
  A_gen1@A       [0.052, 0.021]
  A_gen.7@A      [0.042, 0.031]
  A_gen.7@end    [0.031, 0.042]
  B_gen.7dur@end [None, None]
  A_gen.7dur@A   [None, None]
  B_gen1@end     [0.036, 0.054]
  B_gen.7@end    [0.071, 0.089]
  A_mel@A        [0.4629, 0.4669]
  A_mel@end      [0.4697, 0.4672]
  B_mel@A        [0.585, 0.587]
  B_mel@end      [0.5791, 0.5778]
  A_recx@end     [0.222, 0.236]
  B_recx@end     [0.219, 0.292]
  A_codes@end    [589, 578]
  B_codes@end    [489, 482]
  wA@A           [0.5363, 0.5705]
  wA@end         [0.745, 0.7961]
  wB@end         [0.364, 0.3977]
  windows        [12991, 12995]
  wall_s         [393.1, 279.4]
  s/win          [0.02545, 0.01784]
  minted_in_data [0, 0]
  mints          [192, 192]
  drift          [{'flipA_per_1kwin_mean': 0.036, 'flipB_per_1kwin_mean': 0.0412, 'flipA_vs_codecphase_end': 0.2617, 'flipB_vs_codecphase_end': 0.2704}, {'flipA_per_1kwin_mean': 0.0368, 'flipB_per_1kwin_mean': 0.0393, 'flipA_vs_codecphase_end': 0.2494, 'flipB_vs_codecphase_end': 0.2573}]
